,SCORE: total_score,complex_normalized,dG_cross,dG_cross/dSASAx100,dG_separated,dG_separated/dSASAx100,dSASA_hphobic,dSASA_int,dSASA_polar,delta_unsatHbonds,hbond_E_fraction,hbonds_int,nres_all,nres_int,packstat,per_residue_energy_int,sc_value,side1_normalized,side1_score,side2_normalized,side2_score,description,src,Phosphopeptide,norm_MFI
0,SCORE:       0.000,-0.348,-46.939,-2.547,-46.939,-2.547,1068.706,1842.804,774.097,12,0.162,12,511,84,0,-1.257,0.68,-1.193,-89.507,-1.783,-16.043,nohet_sep_top_1_0001,pIRS2_score.sc,pIRS2,1
1,SCORE:       0.000,-0.266,-36.578,-1.972,-36.578,-1.972,1100.995,1854.678,753.683,13,0.217,8,511,85,0,-0.889,0.68,-0.942,-71.609,-0.442,-3.978,nohet_sep_top_10_0001,pIRS2_score.sc,pIRS2,1
2,SCORE:       0.000,-0.322,-36.468,-1.98,-36.468,-1.98,1108.636,1841.541,732.905,19,0.141,8,511,83,0,-1.136,0.732,-1.123,-83.111,-1.245,-11.208,nohet_sep_top_2_0001,pIRS2_score.sc,pIRS2,1
3,SCORE:       0.000,-0.339,-45.38,-2.439,-45.38,-2.439,1047.198,1860.227,813.03,13,0.246,11,511,83,0,-1.136,0.741,-1.105,-81.769,-1.392,-12.532,nohet_sep_top_3_0001,pIRS2_score.sc,pIRS2,1
4,SCORE:       0.000,-0.312,-43.752,-2.442,-43.752,-2.442,1044.127,1791.669,747.542,7,0.17,8,511,85,0,-1.073,0.72,-1.022,-77.708,-1.501,-13.509,nohet_sep_top_4_0001,pIRS2_score.sc,pIRS2,1
5,SCORE:       0.000,-0.283,-41.999,-2.365,-41.999,-2.365,1039.196,1775.926,736.73,17,0.197,8,511,85,0,-1.148,0.724,-1.138,-86.525,-1.231,-11.082,nohet_sep_top_5_0001,pIRS2_score.sc,pIRS2,1
6,SCORE:       0.000,-0.278,-36.806,-2.03,-36.806,-2.03,1014.644,1813.034,798.39,14,0.194,8,511,86,0,-1.079,0.663,-1.029,-79.247,-1.51,-13.586,nohet_sep_top_6_0001,pIRS2_score.sc,pIRS2,1
7,SCORE:       0.000,-0.268,-35.453,-1.994,-35.453,-1.994,1037.512,1778.096,740.583,19,0.195,8,511,84,0,-1.064,0.707,-1.027,-77.04,-1.37,-12.33,nohet_sep_top_7_0001,pIRS2_score.sc,pIRS2,1
8,SCORE:       0.000,-0.266,-36.511,-1.982,-36.511,-1.982,1041.665,1842.133,800.468,12,0.17,7,511,87,0,-1.029,0.713,-1.023,-79.781,-1.079,-9.715,nohet_sep_top_8_0001,pIRS2_score.sc,pIRS2,1
9,SCORE:       0.000,-0.289,-41.718,-2.246,-41.718,-2.246,1073.375,1857.664,784.289,15,0.196,9,511,83,0,-1.089,0.703,-1.063,-78.698,-1.302,-11.718,nohet_sep_top_9_0001,pIRS2_score.sc,pIRS2,1
10,SCORE:       0.000,-0.347,-47.663,-2.778,-47.663,-2.778,994.789,1715.763,720.974,10,0.155,11,511,84,0,-1.255,0.7,-1.198,-89.844,-1.731,-15.583,nohet_top_1_0001,pIRS2_score.sc,pIRS2,1
